Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
101;Exact location;Se San, Stung Treng, Cambodia;13.5583,106.10033;;;Se San District, Stung Treng Province
105;Exact location;Krâya, Cambodia;13.11667,104.76667;;;Kraya Commune, Santuk District, Kampong Thom Province
108;Coordinates;Rovieng, Cambodia;13.37043,105.29503;;;"Roveang District, Preah Vihear Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
109;Administrative region;Kratié, Cambodia;12.86063,105.96999;;;"Location: Kratie District, Kratie Province. Coordinates: A:625557-1406000, B:626144-1408365, C:628187-1408377, D:628199-1410000,
E:6629828-1410000, F:629828-1408475, G:632797-1408477, H:632798-1410961,
I:630006-1412066, J:630006-1412066, K:634548-1413966, L:635479-1413573,
M:637213-1413968, N:638057-1413537, O:639008-1413413, P:638721-1411698,
Q:641017-1410581, R:641000-1405982."
112;Coordinates;Mondol Kiri, Cambodia;13.05691,106.71658;;;"Ro Yar Commune, Koh Nhek District, Mondulkiri Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
117;Approximate location;Orang, Mondulkiri, Cambodia;12.78794,107.10119;;;"Orang and Senmonorom Districts, Mondulkiri Province
Coordinates from deleted LO deal duplicate:
12.37117924492631
107.2269010543823"
117;Approximate location;Senmonorom District, Mondulkiri Province;;;;
129;Exact location;Uddor Meanchey, Samrong;14.2536,103.63219;;;"Oddar Meanchey, Samrong
Coordinates from deleted LO deal duplicate:
14.360511775401516
103.55403423309768"
130;Administrative region;Kratié, Cambodia;12.86063,105.96999;;;
131;Administrative region;Yunnan, Volksrepublik China;25.04535,102.70994;;;"Shuangbai county (Chuxiong Prefecture); Yongren County (Chuxiong Prefecture); Quibei County; Huize County (Qujing Prefecture)"
131;Administrative region;Yongxing Township Enterprise Audit Firm, Daqiao Road, Yongxing, Chenzhou, Hunan, China;26.12488,113.11795;;;
144;Administrative region;Nanning, Guangxi, China;22.817,108.36654;;;"Guangxi autonomous region, Hepu county
Coordinates: 21.667639, 109.193115"
144;Administrative region;Qin Lian Jie, Qinnan Qu, Qinzhou Shi, Guangxi Zhuangzuzizhiqu, China;21.9478,108.65383;;;
144;Administrative region;Yulin, Guangxi, China;22.63638,110.16476;;;
163;Administrative region;Sumatra, Republik Indonesien;-0.58972,101.34311;;;
164;Administrative region;Kalimantan, Indonesia;1.06824,114.23354;;;
164;Administrative region;Sumatra, Republik Indonesien;-0.58972,101.34311;;;
165;Administrative region;Paleleh, Republik Indonesien;1.0146,121.97499;;;
165;Administrative region;Bunobogu, Republik Indonesien;1.02019,121.65779;;;
178;Administrative region;Sumatra, Indonesien;-0.58972,101.34311;;;
178;Administrative region;Kalimantan Barat, Indonesien;-0.27878,111.47529;;;
178;Administrative region;Kalimantan Tengah, Indonesien;-1.68149,113.38235;;;
182;Administrative region;West Kalimantan, Indonesia;-0.27878,111.47529;;;Minamas estates in West Kalimantan: Awatan, Beturus, East, Kelampai, Lembiru, Pelanjau, Mas 1 – 3, Sei Mawang, Sungai Putih, West.
187;Administrative region;East Kalimantan, Indonesia;1.64063,116.41939;;;
188;Coordinates;Kapuas Hulu, Kapuas Regency, Central Kalimantan, Indonesia;-0.84194,114.08;Golden Hill Oil Mill;;Golden Hill Oil Mill is the processing plant of PT Dwie Warna Karya and is located in the plantation area. Coordinates taken from Uniliver's Oil Mill List for year 2017
191;Administrative region;Sanggau Regency, West Kalimantan, Indonesia;0.14001,110.52155;;;Kembayan, Sanggau, West Kalimantan and Kedukul, Sanggau, West Kalimantan.
192;Administrative region;Belitung, Republik Indonesien;-2.87089,107.95318;;;Belitung
192;Administrative region;Riau, Republik Indonesien;0.29335,101.70683;;;
192;Administrative region;Berau (BEJ), Republik Indonesien;2.16233,117.6962;;;
192;Administrative region;Langkat Regency, Republik Indonesien;3.78563,98.2213;;;
192;Administrative region;Kalimantan Tengah, Republik Indonesien;-1.68149,113.38235;;;
195;Coordinates;Sorong, Republik Indonesien;-1.0645,131.5207;;;
206;Administrative region;Almaty, Kazakhstan;43.22201,76.85125;;;
219;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
222;Administrative region;Vientiane, Laos;17.96277,102.61443;;;Vientiane Province
229;Country;Laos;19.85627,102.4955;;;
230;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
234;Exact location;Attapeu, Laos;14.8007,107.05435;;;source of location: Global Witness  2013 P. 22
238;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
239;Approximate location;Bolikhamsai, Laos;18.43629,104.47233;;;
241;Approximate location;Champasak, Laos;14.65787,105.96999;;;
251;Administrative region;Bachieng District, Champasak Province;15.24908,105.93498;;;"Bachieng District, Champasak Province
Coordinates: 15.249077, 105.934982"
253;Country;Laos;19.85627,102.4955;;;
254;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
261;Approximate location;Vientiane, Laos;18.57051,102.62162;;;
261;Approximate location;Savannakhet, Laos;16.56066,104.747;;;
261;Approximate location;Khammouane, Laos;17.63841,105.21948;;;
261;Approximate location;Salavan, Laos;15.71667,106.41667;;;
266;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
268;Administrative region;Savannakhet, Laos;16.50654,105.59434;;;
274;Approximate location;Muang Pakxong, Paksong, Laos;15.17964,106.2379;;;
276;Approximate location;Muang Mai, Laos;21.17305,102.72213;;;Phongsaly province, Muang Mai
277;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
279;Coordinates;Champasak, Laos;15.19276,105.92238;;;
288;Administrative region;Vientiane, Laos;18.57051,102.62162;;;
296;Administrative region;Luang Namtha, Laos;20.95,101.4;;;
296;Administrative region;Oudomxay, Laos;20.49219,101.88917;;;
296;Administrative region;Bokeo, Laos;20.28727,100.70979;;;
296;Administrative region;Sainyabuli, Laos;19.39079,101.52481;;;
297;Approximate location;Champasak, Laos;14.65787,105.96999;;;
297;Approximate location;Saravan, Laos;15.71657,106.41409;;;
307;Administrative region;Sabah, Malaysia;5.4204,116.79678;;;
308;Country;Malaysia;4.21048,101.97577;;;
311;Exact location;Sungai Besi, 43000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia;3.05775,101.72391;;;
355;Exact location;Mīrpur Khās, Pakistan;25.51799,69.01267;;;
427;Administrative region;Delfin Albano, Isabela, Philippines;17.25925,121.74234;;;Isabela
467;Administrative region;Central Luzon, Philippines;15.48277,120.712;;;
469;Administrative region;Capas, Tarlac, Philippines;15.33352,120.59045;;;
480;Administrative region;Sarangani, Philippines;5.92672,124.99475;;;
486;Administrative region;Sarangani, Philippines;5.92672,124.99475;;;Province of Sarangani, Mindanao
544;Approximate location;Lang Son Province, Vietnam;21.85637,106.62913;;;
545;Administrative region;Da Nang, Vietnam;14.05832,108.2772;;;Nissho Iwai's forestry and wood chip production businesses in Vietnam began with Vietnam-Japan Chip Corporation, which was established in Danang City in Quang Nam Province in 1993. See https://www.sojitz.com/en/news/2002/05/20020527.php
545;Administrative region;Cái Lân, tp. Hạ Long, Quảng Ninh, Vietnam;20.9725,107.01491;;;VIJACHIP Cai Lan (established in 2004), see https://www.sojitz.com/en/special/project/post-13.php
545;Administrative region;Vung Ang, Ha Tinh Province, Vietnam;18.29438,105.67452;;;Vietnam-Japan Chip Vung Ang Corporation (VIJACHIP VA). See https://www.sojitz.com/en/news/2002/05/20020527.php
557;Country;Indien;20.59368,78.96288;;;
614;Administrative region;Valliyur, Tamil Nadu 627117, Indien;8.3834,77.61065;;;2023 ha are at the foothills in Valliyur
614;Administrative region;Thoothukudi, Tamil Nadu, Indien;8.76417,78.13484;;;1619 ha are near Tutitcorin
644;Administrative region;Gujarat, Indien;22.25865,71.19238;;;
644;Administrative region;Uttar Pradesh, Indien;27.57059,80.09819;;;
644;Administrative region;Orissa, Indien;20.23756,84.27002;;;
644;Administrative region;Karnataka, Indien;15.31728,75.71389;;;
644;Administrative region;Andhra Pradesh, Indien;17.04776,80.09819;;;"
"
644;Administrative region;Madhya Pradesh, Indien;22.97342,78.65689;;;
661;Administrative region;Achutapuram, Andhra Pradesh 533435, India;17.21178,81.83473;;;"Andhra Pradesh, Visakhapatnam
Coordinates: 17.686816, 83.218482"
661;Administrative region;Rambilli, Andhra Pradesh 531061, India;17.46487,82.92999;;;
663;Coordinates;Andhra Pradesh, Chintavaram Village, Chillakur, Nellore District;14.1309,79.86468;;;"Andhra Pradesh, Chintavaram Village, Chillakur, Nellore District
Coordinates: 14.130902, 79.864684"
698;Coordinates;Kattupalli Village, Tamil Nadu 600120, India;13.30574,80.33001;;;"Tamil Nadu, Tiruvallur, location: Kattupalli village, near Ennor
Coordinates: 13.305744, 80.330014"
710;Administrative region;Punta Colorada, Río Negro, Argentina;-41.83692,-65.19556;;;"Río Negro, Between the land of Solari Yrigoyen and Punta Colorada
"
717;Administrative region;Río Negro, Argentina;-40.73443,-66.61765;;;"Province ""Río Negro"""
724;Administrative region;Buenos Aires Province, Argentina;-37.20173,-59.84107;;;
727;Coordinates;Malargüe, Mendoza Province, Argentina;-35.48446,-69.57975;;;Los establecimientos de la empresa en Mendoza son Campo el Álamo, Las Juntas, Los Molles, Las Leñas, Valle Hermoso, Los Amarillos, Agua del Toro, Río Colorado (sur de Mendoza). En estas propiedades están la laguna Niña Encantada, el Pozo de las Ánimas, el centro termal Los Molles, el Centro de Ski las Leñas, la Laguna de Valle Hermoso y otros espejos de agua cordilleranos.
727;Coordinates;Los Molles, Mendoza, Argentina;-35.16562,-69.93887;El Álamo;;Es uno de los campos de la empresa, tiene 150000 hectáreas. parte de estas hectáreas se encuentran arrendadas a pequeños productores
729;Administrative region;La Pampa Province, Argentina;-36.61476,-64.28392;;;"La Pampa
Coordinates: -37.83148014503287, -65.10498046875"
732;Administrative region;Chaco Province, Argentina;-27.42572,-59.02438;;;"Chaco
Coordinates: -26.529565238267566, -60.9521484375
El territorio está comprendido entre las localidades de Comandancia Frías, Taco Pozo y Fuerte Esperanza en los departamentos de Güemes y Almirante Brown."
734;Administrative region;Neuquen, Argentina;-38.94587,-68.07309;;;Patagonia
736;Administrative region;Victoria, Entre Rios, Argentina;-32.62159,-60.15753;;;Isla Irupé
737;Administrative region;Caucete, San Juan Province, Argentina;-31.65417,-68.28528;;;Caucete, Valle tulum
738;Administrative region;Santa Cruz de la Sierra, Bolivia;-17.86667,-63.0;;;
739;Administrative region;Chané, Bolivia;-17.00712,-63.22384;;;
744;Administrative region;San Pedro, Santa Cruz de la Sierra, Bolivia;-17.74708,-63.1817;;;"San Pedro, north of Santa Cruz
Coordinates: -14.867150772062557, -61.51622772216797"
746;Coordinates;Mato Grosso;-12.42585,-55.89844;;;"Mato Grosso
Coordinates: -12.425847783029134, -55.8984375"
747;Administrative region;São Paulo - State of São Paulo, Brazil;-23.55052,-46.63331;;;
749;Exact location;Januária - Minas Gerais, Brasil;-15.49547,-44.37031;Fazenda Nova Buriti;;
754;Administrative region;State of São Paulo, Brazil;-23.54318,-46.62918;;;Goias, Mato Grosso, Bahia
755;Administrative region;Maranhão, Brazil;-5.08042,-45.60071;;;Maranhão
756;Administrative region;São Desidério - Bahia, Brazil;-12.36085,-44.97522;;;Bahia
759;Exact location;State of Tocantins, Brazil;-12.95299,-49.51233;Nova Fronteira I II y III;;
761;Administrative region;Três Lagoas - Mato Grosso do Sul, Brazil;-20.75985,-51.69508;;;Mato Grosso do Sul
766;Administrative region;State of Rio Grande do Sul, Brazil;-30.34326,-54.88164;;;Valle del Rio Jurua
767;Exact location;Bahia, Santa Cruz de Cabrália;-16.23577,-39.01794;;;"Bahia, Santa Cruz de Cabrália
Coordinates: -16.235772, -39.017944
The total area also includes the following municipalities: Belmonte, Canavieiras, Eunápolis, Guaratinga, Itabela, Itagimirim, Itapebi, Mascote, Porto Seguro, Potiraguá and Santa Cruz Cabrália."
768;Administrative region;São Paulo, Brazil;-22.35681,-51.48927;;;
768;;Mato Grosso do Sul, Brazil;-21.7551,-52.9834;;;
773;Administrative region;Bahía, Brasil;-10.97878,-45.54355;Bananal Farm;;
774;Administrative region;Estado de Paraná, Brasil;-25.25209,-52.02154;;;Parana and Sao Paulo.
775;Administrative region;Baixa Grande - Bahía, Brasil;-11.95501,-40.16622;;;
776;Exact location;Alto Taquari - Mato Grosso, Brasil;-17.82513,-53.27984;Alto Taquari Farm;;
778;Administrative region;Pará, Brasil;-6.2071,-52.7028;;;El proyecto se desarrolla en los municipios de São Miguel do Guamá, São Domingos do Capim, Irituia, Mãe do Rio, Aurora do Pará, Santa María do Pará y Capitão Poço
781;Administrative region;Tocantins, Brasil;-11.40987,-48.71914;;;
782;Exact location;State of Tocantins;-16.19311,-43.73404;;;"State of Tocantins
Coordinates: -16.1931109206795, -43.734044"
783;Administrative region;Mato Grosso, Brasil;-12.68187,-56.9211;;;Mato Grosso
784;Administrative region;Barreirinha, State of Amazonas, 69160-000, Brasil;-2.79991,-57.06835;;;
785;Administrative region;State of Bahia, Brazil;-12.57974,-41.70073;;;
794;Administrative region;Ovalle, Ovalle, Coquimbo Region, Chile;-30.6043,-71.19699;;;
795;Administrative region;Maule Region, Chile;-35.51636,-71.5724;;;
801;Administrative region;Norte de Santander, Tibú;8.65468,-72.73825;;;"Norte de Santander, Tibú.
The polygons presented here represent some of the properties belonging to Bioagroindustrial de Colombia. By comparing the name of the facilities mentioned in Source 12 and cadastral data, it was possible to determine some plots. Finding the other plots was complicated because a lot of properties in the area have the same name, therefore selecting one of them would have some considerable error. The area has extended plantations of palm oil."
812;Country;Costa Rica;9.74892,-83.75343;;;
815;Administrative region;Peninsula De Nicoya, Costa Rica;10.03199,-85.44099;;;
818;Country;Cuba;21.52176,-77.78117;;;
833;Administrative region;Chiquimililla, Santa Rosa, Guatemala;14.1928,-90.37484;;;
840;Administrative region;Sayaxché, Guatemala;16.51143,-90.21197;;;Tierra Blanca
840;Administrative region;Ixcán, Guatemala;15.87676,-90.98413;;;
843;Administrative region;Alta Verapaz Department, Guatemala;15.59429,-90.1495;;;Valle Polochic: Panzos, Alta Verapaz, El Estor, Mariscos
844;Administrative region;Morales, Guatemala;15.47118,-88.8431;;;" (Izabal), Puerto Barrios y Morales 
Coordinates: 15.4204597488621, -88.7514801134764"
847;Administrative region;Upper Takutu-Upper Essequibo, Guyana;2.92396,-58.73736;;;Rewa Head
849;Administrative region;Guyana;4.86042,-58.93018;;;
851;Administrative region;Bartica, Guyana;6.40432,-58.62582;;;
854;Administrative region;Oaxaca, OAX, México;17.05942,-96.72162;;;Oaxaca, Istmo de Tehuantepec, Jutichan, La Venta
855;Administrative region;Oaxaca, Oaxaca, Mexico;17.05942,-96.72162;;;Oaxaca, Istmo de Tehuantepec, Jutichan, La Venta
859;Administrative region;Tizimín, Yuc., Mexico;21.14547,-88.14961;;;
869;Administrative region;Boquerón, Paraguay;-21.74493,-60.95401;;;Located in Mariscal José Felix Estigarribia, District of Boquerón, Chaco Paraguayo, Republic of Paraguay.
872;Administrative region;Departamento de Alto Paraguay, Paraguay;-21.31334,-58.9008;;;Alto Paraguay
877;Coordinates;Caazapa, Paraguay;-26.04361,-56.3;;;"La Milagrosa Farm
26°2""37' S
56°18""0' W"
879;Administrative region;Chaco, Paraguay;-27.3144,-58.5519;;;Chaco (norte de PRY)
884;Administrative region;Ucayali, Perú;-9.82512,-73.08775;;;Ucayali
892;Administrative region;Ica, Peru;-13.93794,-75.80071;;;Virú
924;Administrative region;Paysandú, Uruguay;-32.44664,-57.86132;;;
924;Administrative region;Rio Negro, Uruguay;-32.76326,-57.09531;;;
926;Administrative region;Tacuarembó, Uruguay;-31.73333,-55.98333;;;Cerro Largo y Tacuarembó
933;Administrative region;Durazno, Uruguay;-33.07845,-56.025;;;
934;Administrative region;Cerro Largo, Uruguay;-32.20248,-54.25931;;;
937;Administrative region;Durazno, Uruguay;-33.36667,-56.51667;;;
938;Administrative region;Guárico, Venezuela;8.74893,-66.23672;;;Guárico, Delta Amacuro, Barinas, Apure y Portuguesa
938;Administrative region;Delta Amacuro, Venezuela;8.83159,-61.51805;;;
938;Administrative region;Barinas, Venezuela;8.62315,-70.2371;;;
938;Administrative region;Apure, Venezuela;6.92695,-68.52471;;;
938;Administrative region;Portuguesa, Venezuela;9.0944,-69.09702;;;
953;Administrative region;Pordim, Bulgaria;43.37798,24.84764;;;
953;Administrative region;3640 Yakimovo, Bulgaria;43.6348,23.36632;;;
953;Administrative region;3330 Miziya, Bulgaria;43.69124,23.8534;;;
962;Administrative region;Mažeikiai, Lithuania;56.30924,22.34147;;;
962;Administrative region;Raseiniai, Lithuania;55.38195,23.11561;;;
962;Administrative region;Paūliai, Lithuania;54.16206,24.3568;;;
981;Administrative region;Tormac, Romania;45.52294,21.49209;;;2km from the village Sipet
981;Exact location;Măureni 327265, Romania;45.40727,21.50384;Tormac;;
983;Administrative region;Argeș County, Romania;45.07225,24.81427;;;
983;Administrative region;Dâmbovița County, Romania;44.92899,25.42539;;;
983;Administrative region;Buzău County, Romania;45.33509,26.71076;;;
984;Administrative region;Brașov, Romania;45.66667,25.61667;;;
984;Administrative region;Buzău, Romania;45.16667,26.81667;;;
984;Administrative region;Drobeta-Turnu Severin, Romania;44.63692,22.65973;;;
984;Administrative region;Câmpulung, Romania;45.27061,25.0531;;;
993;Administrative region;Penza, Penza Oblast, Russia;53.19398,45.01212;;;
999;Administrative region;Penza, Penza Oblast, Russia;53.2,45.01667;;;Penza
999;Country;Russia;;;;Chernozem
1003;Administrative region;Мордово, Тамбовская обл., Росія;52.08984,40.78809;;;In the Mordovian region, the company has 15100 ha of arable land
1003;Administrative region;Петровский р-н, Тамбовская обл., Росія;52.59123,40.30944;;;In the Petrovsky region, the company has 5000 ha of arable land
1003;Administrative region;Знаменский р-н, Тамбовская обл., Росія;52.42238,41.33012;;;in the Znamensky region, the company has 300 ha of arable land
1004;Administrative region;Tambov, Tambov Oblast, Russia;52.73359,41.29577;;;Tambov
1004;Administrative region;Петровский р-н, Тамбовская обл., Росія;52.59123,40.30944;;;
1005;Administrative region;Конишевський район, Курська область, Росія;51.92143,35.34351;;;Kursk
1005;Administrative region;Дмитрієвський район, Курська область, Росія;52.14984,34.95807;;;The operating company controls approximately 640 ha of land in this region
1005;Administrative region;Хомутовський район, Курська область, Росія;51.84925,34.70519;;;
1006;Administrative region;Kurgan, Kurgan Oblast, Russia;55.45,65.33333;;;Kurgan
1007;Exact location;Троицкое, Липецкая обл., Росія, 398530;52.48984,39.52596;;;The operating company has 10 000 ha of leased lands in this region
1007;Administrative region;Чаплигін, Ліпецька область, Росія;53.23988,39.96885;;;Another seven thousand hectares of arable land are located in the Chaplyginsky and Lebedyansky districts.
1007;Administrative region;Лебедянь, Ліпецька область, Росія;53.02057,39.13048;;;Another seven thousand hectares of arable land are located in the Chaplyginsky and Lebedyansky districts.
1011;Administrative region;Voronezh, Voronezh Oblast, Russia;51.6755,39.20888;;;
1011;Administrative region;Oryol, Oryol Oblast, Russia;52.96685,36.06249;;;
1011;Administrative region;Rostov-on-Don, Rostov Oblast, Russia;47.21667,39.7;;;
1011;Administrative region;Penza, Penza Oblast, Russia;53.2,45.01667;;;
1011;Administrative region;Kursk, Kursk Oblast, Russia;51.7092,36.15622;;;
1011;Approximate location;Ольховатка, Воронезька область, Росія;50.27692,39.30292;;;
1011;Approximate location;Россошанский район, Воронезька область, Росія;50.13009,39.73601;;;
1014;Approximate location;Новодевица, Приморский край, Росія, 692275;44.49326,132.19078;;;near vladivostok
1015;Administrative region;Nizhny Lomov, Penza Oblast, Russia;53.52,43.6761;;;40 000 Ha in the Nizhny Lomov  and the Pachelma districts
1015;Administrative region;Belinsky, Penza Oblast, Russia;52.967,43.417;;;20 000 Ha in the Belinsky district
1015;Administrative region;Pachelma, Penza Oblast, Russia;53.32944,43.31278;;;
1016;Administrative region;Lipetsk, Lipetsk Oblast, Russia;52.60279,39.59091;;;
1017;Administrative region;Чишминський район, Башкортостан, Росія;54.59494,55.39016;;;
1017;Administrative region;Благоварський район, Башкортостан, Росія;54.6909,55.01575;;;
1017;Administrative region;Буздяцький район, Башкортостан, Росія;54.64203,54.52375;;;
1019;Administrative region;Ngalimbiu River, Solomon Islands;-9.52555,160.1046;;;Ngalimbiu
1019;Administrative region;Tetere, Solomon Islands;-9.4218,160.17386;;;
1019;Administrative region;Mbalisuna, Solomon Islands;-9.50146,160.22809;;;
1021;Administrative region;Commewijne, Suriname;5.74021,-54.87312;;;
1023;Administrative region;Kharkiv, Kharkiv Oblast, Ukraine;49.9935,36.23038;;;
1023;Administrative region;Kirovohrad, Kirovohrads'ka oblast, Ukraine;48.50793,32.26232;;;
1026;Administrative region;Lviv, Lviv Oblast, Ukraine;49.83968,24.02972;;;Farms are primarily located in Lviv.
1033;Administrative region;Sumy, Sums'ka oblast, Ukraine;50.9077,34.7981;;;
1033;Administrative region;Chernihiv, Chernihivs'ka oblast, Ukraine;51.4982,31.28935;;;
1033;Administrative region;Ternopil, Ternopil's'ka oblast, Ukraine;49.55352,25.59477;;;
