Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
5461;1199;2002-09-24;;;"- Certificate of investment / business registration: No. 3700147268 first registered on March 27, 1996 by the Department of Planning and Investment of Binh Duong province, changed 34 times on 24/8/2010.
- Establishment Decision: No. 796 / TTg of October 26, 1996 of the Prime Minister on investment in construction projects and infrastructure business in Song Than 2 industrial park, Song Be province.
- Decision approving the detailed planning of industrial park: No. 1199 / QD-BXD dated September 24, 2002 of the Ministry of Construction approving the adjustment of the detailed planning of Song Than 1 and 2 Industrial Zones, Binh Duong province. ; No. 958 / QD-UBND of March 31, 2008, approving the adjustment of detailed plannings, Song Than 2 Industrial Park, Binh Duong province."
5462;46221000224;2007-08-06;;;
5463;1308;2006-09-18;;;
5466;1437;2016-09-09;2066-09-08;50;
5467;;2002-12-19;2052-12-18;50;Phase 1
5468;;2005-02-24;2055-02-23;50;"+  First Phase: 344 ha (Operational time: 2005 – 2055)
+ Second Phase: 314 ha (Operational time: 2016 – 2066)"
5469;;2007-01-01;2057-01-01;50;Phase 1: 272 hectares
5469;;2010-01-01;2060-01-01;50;Phase 2: 95.8 hectares addition to Phase 1
5470;856;2007-06-28;;50;
5471;1657;2012-12-26;;50;
5473;1546;2008-09-18;;;
5474;436;2009-04-13;;47;
5475;856;2007-06-28;;;
5478;6221000045;2008-07-03;2058-07-03;50;
5479;335;2006-03-22;;50;
5484;4201000068;2007-05-31;;50;
5485;4201000075;2007-09-20;;;
5487;1454;2005-04-01;2055;50;
5499;MV-014917;2009-05-22;2039-05-22;30;
5502;1826;2010-10-07;;;
5503;1107;2006-08-21;2062-01-01;;
5506;1645;2012-10-15;;50;
5508;886;2014-06-12;;52;
5512;2360;2010-08-09;;50;"Legal document: Document No. 934 / TTg-KTN dated 10/6/2009 of the Prime Minister “Regarding the addition of Hoanh Bo Industrial Park, Quang Ninh Province and the Planning for the Development of Industrial Zones in Vietnam”
– The detailed construction plan of 1 / 2,000 scale of Hoanh Bo Industrial Park was approved by the Provincial People’s Committee in Decision No. 2360 / QD-UBND dated August 9, 2010.
https://iipvietnam.com/khu-cong-nghiep-hoanh-bo-quang-ninh-441860.html"
5515;1685;2015-07-27;;50;
5516;1262;2009-10-23;;;
5517;1687;2004-07-20;2054-07-20;52;
5537;634;2012-04-04;;;See: https://vietnambiz.vn/kcn-cat-trinh-368-ha-chinh-thuc-ve-tay-bamboo-capital-20200629152401017.htm
5538;35221000043;2009-03-27;2059-07-17;50;
5904;;2014-06-16;;;Judicial decision, where is available criminal activity with land lease. The Contract was signed between Company and person, who was not an owner of the land plot and did not have any documents. Size of this land = 533.24 ha in Lvivska Region and the owner was State.
5926;;;;99;
5946;;2010-01-04;;25;
5949;;2009-04-14;;11;
5950;;2011-01-04;;30;
5951;;2011-10-06;;17;
5952;;2011-01-17;;2;
5953;;2011-07-15;;11;
5954;;2011-06-15;;25;
5977;;2004-11-09;;;Size -8,1740 ha, cadastral number - 6321684000:02:002:0038 [ under the judicial decision]
5995;;2013-01-09;;70;
6005;MV-007863;2001-03-19;2031-03-19;30;
6010;MV-00014657;2009-04-24;2039-04-24;30;
6013;;;;30;
6014;;;;50;
6026;;;;30;
6039;;2010-05-01;2020-04-30;10;
6057;;;;50;Renewable for another 50 years
6130;;;;50;
6170;;2012-01-26;;50;
6305;;2011-09-07;;;
6306;;2012-12-12;;50;Ministry of Environment in 2012 granted Lim Royal a 50-year economic land concession licence on 9,068ha of land in the province’s Koh Nhek and Pech Chreada districts
6308;;2011-04-01;;50;
6313;;2010-12-06;;;
6325;;2007-07-09;;70;
6328;;2010-05-05;;50;original term was 70 years but was reduced to 50 years
6335;;2011-05-19;;70;
6336;;2011-05-03;;;
6512;;2011-03-23;;30;Build, Own, Operate and Transfer (BOOT) scheme
6520;;2012-05-11;;;
6521;;2007-04-10;;25;After the end of the concession period, ownership of the plant will be transferred to the Lao government.
6531;;;;27;
6533;;2012-08-09;;;
6538;;2015-08-01;;27;
6543;;2013-09-19;;;
6556;;2011-04-06;;50;
6557;;2011-03-21;;;
6578;;2011-01-01;;25;
6584;;2014-01-01;2084-01-01;70;The project was implemented under a 70-year build-operate-transfer (BOT) concession that will expire in 2084.
6589;;2014-08-19;;;
6592;;;;;"Under the MoU, the feasibility study will take about 18 months to complete. The company
will be granted a concession period of 30 years after construction."
6595;;2012-02-09;;25;
6597;;2009-01-01;;50;
6607;;;;30;"Build-Own-Operate Transfer (BOOT); some sources say that the BOOT covers 30 years but others say 50 years"
6608;;;;50;
6664;;2019-09-18;;50;"Congress has granted proponent legislative franchise for the construction, operation, and maintenance of the airport.

The company signed the agreement last September 18, 2019."
6666;;;;50;
6684;;;;25;
6685;;;;7;
6695;;2003-07-03;2028-07-03;25;"Upon renewal for another 25 years after contract expiration.

Awarded by the Department of Environment and Natural Resources through the Integrated Social Forestry (ISF) program"
6698;;;;30;
6699;;;;40;
6703;;;;50;
6705;;;;;Cannot be more than 10 years as per AVA law.
6710;;2004-12-16;2024-12-16;20;"Upon renewal on contract expiration.

In 2018, Secretary of Agrarian reform submitted to the President a recommendation for the revocation of the Joint Venture Agreement on grounds of huge losses incurred by the enterprise and complaint from the landowners on unfair terms of the contract."
6711;;2014-07-15;2039-07-15;19;"Contract signing/expiration dates were the same for the following ARBOs/POs/ARBs:
1) Siari Valley Agrarian Reform Beneficiaries Multi-Purpose Cooperative (SVARBEMCO)
2) Depani, Aguirre, Gupot, Linay, Lingatongan, Saluyong Agrarian Reform Cooperative (DAGLLISARCO)
3) San Miguel Agrarian Reform Beneficiaries Multi-Purpose Cooperative (SMARBEMCO)
5) Agrarian Reform Beneficiaries of Marcelo Multi-purpose Cooperative (ARBEMCO)
6) Gabu-Balas-Lawigan Agrarian Reform Beneficiaries Cooperative (GABALARBECO)



Upon renewal on contract expiration."
6711;;2015-07-23;2040-07-23;25;"Contract with Kauswagan Agrarian Reform Beneficiaries Multi-Purpose Cooperative (KARBEMPCO)


Upon renewal on contract expiration."
6711;;2015-07-24;2040-07-24;25;"Contract signing/expiration dates were the 

same for the following ARBOs/POs/ARBs:
1) A. L. Micubo Agrarian Reform Beneficiaries Association (ALMARBAS)
2) S. Cabral Agrarian Reform Beneficiaries Association (SCARBAS)

Upon renewal on contract expiration."
6711;;2015-05-15;2040-05-15;25;"Contract with Langatian CARP Beneficiaries Multi-Purpose Cooperative (LACARBEMCO).

Upon renewal on contract expiration."
6711;;2013-08-28;2038-08-28;25;"Contract with Midsalip Farmers Multi-purpose Cooperative (MIFAMCO).

Upon renewal on contract expiration."
6719;;2011-01-01;2023-12-31;13;"Contract details vary in terms of duration since there are with 9-30 year terms. Note, however, that for contracts with less than 25 years duration, there is the chance for these to be extended up to 25 years since land lease agreements are usually 25 years in terms of length. 

These contract are upon renewal on contract expiration."
6722;;2005-01-07;2030-01-07;25;The investor has 25-year contracts with 14 members of FARBECO.
6722;;2004-08-04;2029-08-23;25;The investor has 25-year contracts with 20 members of ITDAFA
6722;;2005;2020;15;"The investor has 15-year contracts with 31 individual ARBs with the indicated details. Note, however, that there is the chance for it to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

The investor also has 25-year contracts with 2 more individual ARBs (i.e. 2002 to 2027 and 2003 to 2027).

These contracts are upon renewal for another 25 years on expiration."
6724;;2013;2018;5;"The investor has 5-year contracts with Checkered Farms ARB MPC (CFARBEMPCO) and Soriano farms ARBs Multipurpose Cooperative (SFARBEMCO) from 2013-2018 and 10-year contracts with DAPCO ARBs Cooperative (DARBCO), Magatos ARB Multi-purpose Cooperative (MARBMCO), AMS Kapalong ARB MPC (AMSKARBEMCO), and Mampising CARP Benficiries Cooperative (MCBCI). In North Cotabato, it has a 20-year contract with individual ARBs.  

The investor also has a 25-year contract with Tagnanan CARP Beneficiaries Coop, Inc. (TCBCI).

These contracts are upon renewal upon expiration."
6725;;1998-01-01;2032-12-31;35;"The investor has 35-year contract with Agusan Plantation Inc.-Agrarian Reform Beneficiaries Multi-purpose Cooperative (API-ARBMPC). Aside from this, it has 25-year contracts with 10 individual ARBs and Cuevas Agrarian Reform Beneficiaries Multi-purpose Cooperative (CARBEMCO).

The investor also has 16-year contracts with an individual ARB (1996-2021) and Cebolin Multi-purpose Cooperative (CEMPCO) (2003-2019). Note,however, that there is the chance for it to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

These contracts are upon renewal for another 25 years upon expiration."
6730;;2014-12-12;2024-12-12;10;This is the contract date for the start of delivery of product. No other details available.
6731;;2013;;;Renewable every cropping.
6732;;2005;2020;15;"The investor has 15-year contracts with individual ARBs, in which the contracts were signed from 2005-2010 and will expire on 2020-2025. Note, however, that there is the chance for it to be extended up to 25 years.

These contracts are upon renewal on contract expiration."
6734;;2003-12;2023-12;20;"There is the chance for it to be extended up to 25 years since land lease  agreements are usually 25 years in terms of length. 

This contract is upon renewal for another 25 years upon expiration."
6735;;1998;2028;30;
6738;;2009;;;PADCOR eventually sold the lease to Musahamat in 2009. Musahamat approached the ARBs with a very similar contract to PADCOR. They signed the contracts because of a five-year advance on the lease payments reported last 2016.
6739;;1998;2028;30;
6756;;;;10;For some individual ARBs, however, have terms such as 14,16, 19, and 20 years.
6757;;;;15;
6758;;;;25;Contract varies from 10-30-year terms.
6760;;2007-07-30;2047-07-30;40;
6761;;1998-06-10;2028-06-10;30;
6762;;1998-06-10;2028-06-10;30;
6763;;;;25;
6764;;2013-03;2038-03;25;
6765;;2010-03;2030-03;20;There are also 25-year contracts with other individual ARBs.
6766;;2008-07-30;2023;15;
6767;;2008;2023;15;
6768;;2006;2031;25;Most contracts are from 2006-2031 while others vary but all of the contracts are 25-year term contracts.
6799;;;;99;
6856;;1998;2032;34;"The investor has two 34-year contracts with National Guthrie Estates, Inc., Multi-purpose Cooperative (NGEI-MPC).

NGEI entered into a Lease Agreement with the NDC-Guthrie Estates, Inc., which is now assumed by Filipinas Palm Oil Plantations, Inc., for FPPI to continue the operation of its palm oil plantation in the said lands for a period of twenty five years."
6861;;2003;2008;5;In Davao del Norte, the investor is in partnership with Sumifru Corporation where they have a 5-year contract with Diamond Farms, ARBs MPC (DARBMUPCO). Note that there is the chance for it to be extended up to 25 years since land lease agreements are usually 25 years in terms of  length.
6913;;2018-11-19;;;
7033;;2004-09-30;2029-09-29;25;
7087;;2000-11-21;;;
7177;MPSA No. 150-00-VII;2000-01-07;2025-01-07;25;
7178;MPSA No. 029-95-IVA;1995-09-29;2020-09-29;25;
7178;MPSA No. 029-95-IVA;2020-01-17;2045-09-29;25;The original contract was renewed on 17 January 2020 for another 25 years.
7179;MPSA No. 015-93-X;1993-07-01;2024-07-10;31;"Contract was supposed to expire on July 2018 but 6 year extension was granted February 2019

The term was extended for a period of 6 years on February 07, 2019.
Third Renewal for the Exploration Period was approved on July 3, 2020."
7180;MPSA No. 188-2002-III;2002-12-12;2027-12-12;25;"The contract was cancelled thru Dept. of Environement and Natural Resources Order on
December 28, 2010.

Proponent filed an appeal to the Office of the President."
7181;MPSA No. 024-94-VII;1994-05-11;2019-05-11;25;"The cancellation of MPSA was affirmed thru DENR
Order dated November 27, 2015"
7190;MPSA No. 151-00-CAR;2000-03-09;2025-03-09;25;
