Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
71;Exact location;Kamreang Village, Takrey Commune,Battambang, Cambodia;13.0287,102.98961;;;"Kamreang Village, Takrey Commune, Battambang Province
Coordinates from deleted LO deal duplicate:
13.10797037321149
102.59747794891948"
74;Administrative region;Santuk, Cambodia;12.63251,105.31312;;;Santuk District, Kampong Thom Province
78;Administrative region;Memot, Cambodia;11.82694,106.18278;;;Memot District, Kampong Cham Province
80;Coordinates;Krong Preah Sihanouk, Cambodia;10.84844,103.82555;;;"Prey Nup District, Sihanoukville Municipality; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
85;Administrative region;Sameakki Mean Chey, Cambodia;11.83029,104.51892;;;Baribor, Tekphos and Sammakki Meanchey Districts, Kampong Chhnang Province.
85;Administrative region;Krakor, Cambodia;12.53226,104.21053;;;Kra Kor, Kra Vanh and Sampov Meas Districts, Pursat Province
88;Approximate location;Omlaing, Kampong Speu​, Cambodia;11.61551,104.37919;;;"Omlaing commune, Kampong Speu province
Coordinates from deleted LO deal duplicate:
11.826068628214792
104.26638435308969"
89;Exact location;Se San District, Stung Treng Province Cambodia;13.57647,105.96999;;;"Se San District, Stung Treng Province
Coordinates from deleted LO deal duplicate:
13.593856146469607
106.40185748045558"
92;Exact location;Krakor, Cambodia;12.45134,104.17235;;;Krakor District, Pursat Province
96;Exact location;Se San District, Stung Treng, Cambodia;13.57647,105.96999;;;Se San District, Stung Treng Province
97;Exact location;Varin, Cambodia;13.86927,103.83093;;;"Varin District, Siem Reap Province and Anlong Veng District, Uddor Meanchey
Province
Location comment: Shp file is on the border of Uddor Meanchey and Siem Reap"
97;Exact location;Anlong Veng, Cambodia;14.23333,104.08333;;;"Varin District, Siem Reap Province and Anlong Veng District, Uddor Meanchey
Province"
98;Coordinates;Mondol Kiri, Cambodia;12.67232,106.55954;;;"Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pechreada District,
Mondulkiri Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
99;Exact location;Siem Pang, Cambodia;13.99387,106.44059;;;"Siem Pang District, Stung Treng Province
Coordinates from deleted LO deal duplicate:
14.323774719486263
106.26216729011824"
102;Exact location;Se San, Stung Treng, Cambodia;13.5583,106.10033;;;"Se San, Stung Treng, Cambodia
Coordinates from deleted LO deal duplicate:
13.458843041413578
106.23288747579979"
103;Exact location;Chi Kraeng, Cambodia;13.18198,104.33264;;;Chi Kreng District, Siem Reap Province
104;Exact location;Kbal Damrei, Cambodia;12.905,105.39143;;;Kbal Damrei Commune, Sambo District, Kratie Province.
110;Exact location;Memot, Cambodia;11.82694,106.18278;;;Memot District, Kampong Cham Province
111;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch District, Kampong Speu Province
114;Exact location;Memot, Cambodia;11.82694,106.18278;;;Memot District, Kampong Cham Province
116;Administrative region;Chhuk, Cambodia;10.83597,104.45777;;;"Chhouk District, Kampot Province
Coordinates from deleted LO deal duplicate:
10.897170729869364
104.17520464872631"
146;Administrative region;Yunnan, Volksrepublik China;25.04535,102.70994;;;Yunnan province, Langyong County, townships: Wafan, Wadu, Mongkuan,Bingma, pupiao
150;Administrative region;Beichuan, Mianyang, Sichuan, China;31.6172,104.46817;;;all in all 28 villages
150;Administrative region;Lixian, Aba, Sichuan, China;31.43647,103.16685;;;
150;Administrative region;Maoxian, Aba, Sichuan, China;31.68115,103.85352;;;
150;Administrative region;Pingwu, Mianyang, Sichuan, China;32.40866,104.52907;;;
150;Administrative region;Qingchuan, Guangyuan, Sichuan, China;32.58426,105.23819;;;
151;Administrative region;Jiangsu, China;32.06171,118.76323;;;
151;Administrative region;Fujian, China;26.09993,119.29651;;;
151;Administrative region;Jilin, China;43.83788,126.54957;;;
151;Administrative region;Hebei, China;38.03706,114.46866;;;
151;Administrative region;Hubei, China;30.54586,114.34192;;;
151;Administrative region;Shaanxi, China;34.26547,108.95424;;;
151;Administrative region;Hunan, China;28.11244,112.98381;;;
151;Administrative region;Shandong, China;36.66863,117.02041;;;company has 30 production bases across China
151;Administrative region;Tianjin, China;39.08416,117.20098;;;
152;Administrative region;Jiangxi, China;28.67443,115.90891;;;
152;Administrative region;Sichuan, China;30.65123,104.07588;;;
152;Administrative region;Jiangsu, China;32.06171,118.76323;;;
152;Administrative region;Heilongjiang, China;45.74235,126.66167;;;
152;Administrative region;Liaoning, China;41.83544,123.42944;;;
152;Administrative region;Jilin, China;43.89608,125.32606;;;
152;Administrative region;Anhui, China;31.86112,117.2849;;;
152;Administrative region;Hunan, China;28.11245,112.98381;;;
152;Administrative region;Hubei, China;30.54656,114.34174;;;
152;Administrative region;Ningxia, China;38.47132,106.25875;;;
154;Administrative region;Shunyi District, Beijing, China;40.13035,116.65465;;;
155;Administrative region;Guangdong, China;23.37903,113.76328;;;
181;Administrative region;Central Sulawesi, Indonesia;-1.43003,121.44562;;;Province Central Sulawesi, Buol Coordinates: -1.801461, 120.563965
185;Administrative region;Sanggau, Republik Indonesien;0.11928,110.5973;;;Province Kalimantan Barat (West of Kalimantan), Sangau
194;Administrative region;Bunta, Petasia, Morowali Regency, Zentral-Sulawesi, Indonesien;-2.04161,121.38847;;;
196;Administrative region;North Sumatra, Indonesia;2.11535,99.5451;;;
196;Administrative region;Jambi, Indonesia;-1.48518,102.43806;;;
196;Administrative region;West Sumatra, Indonesia;-0.73994,100.80001;;;
196;Administrative region;Lampung, Indonesia;-4.55858,105.40681;;;
196;Administrative region;Bengkulu, Indonesia;-3.57785,102.34639;;;
258;Administrative region;Vientiane, Laos;18.57051,102.62162;;;Vientiane Province
306;Country;Malaysia;4.21048,101.97577;;;
306;Coordinates;;2.91192,102.77981;;;
310;Administrative region;Sarawak, Malaysia;2.55743,113.0012;;;Bayu, Belian, Chartquest, Damai, Derawan, Dulang, Kelida, Lavang, Paroh, Pekaka, Rajawali, Rasan, Ruai, Sahua, Samudera, Semarak, Takau
313;Administrative region;Baram, Sarawak, Malaysia;1.36447,111.54874;;;4,960 ha in Sejap Estate, Baram and 4,038 ha in Tegai Estata, Baram
316;Administrative region;Tanjung Manis, Belawai, Sarawak, Malaysia;2.17702,111.20146;;;
318;Exact location;Bakun, Nanga Merit, Sarawak, Malaysia;2.75639,114.06306;;;35 km from Belaga
319;Administrative region;Kapit, Sarawak, Malaysia;1.90978,113.6356;;;Merrirai Balui Forest Plantation, Guanaco Maujaya Forest Plantation and Bahau Linau Forest Plantation
320;Coordinates;Sarawak, Malaysia;2.7605,114.48697;;;"Estate Location: LPF0018, Belaga, Kapit, Sarawak
long/lat		114.486972, 2.7605
(Malaysian Sustainable Palm Oil Certificate No.DMC MSPO 0064 dated 22Jan2020)
(https://www.shinyang.com.my/products-services/oil-palm-plantation.html)"
323;Administrative region;Pahang, Malaysia;3.97434,102.43806;;;
323;Administrative region;Johor, Malaysia;1.9344,103.35873;;;
323;Administrative region;Negeri Sembilan, Malaysia;2.87075,102.25479;;;
323;Administrative region;Terengganu, Malaysia;5.09363,102.98961;;;
323;Administrative region;Sabah, Malaysia;5.4204,116.79678;;;
323;Administrative region;Sarawak, Malaysia;2.55743,113.0012;;;
324;Administrative region;Sarawak, Malaysia;2.55743,113.0012;;;
324;Administrative region;Sabah, Malaysia;5.4204,116.79678;;;
324;Administrative region;Terengganu, Malaysia;5.09363,102.98961;;;
324;Administrative region;Kelantan, Malaysia;5.11515,101.88917;;;
324;Administrative region;Kedah, Malaysia;5.88322,100.52961;;;
324;Administrative region;Johor, Malaysia;1.9344,103.35873;;;
325;Administrative region;Miri, Sarawak, Malaysia;4.39949,113.99138;;;"1. Teraja Land District, Miri
2. Lambir Land District, Miri
3. Sawai Land District, Miri"
325;Administrative region;Sibu, Sarawak, Malaysia;2.28728,111.83053;;;Kabang and Lassa Land District, Sibu
325;Administrative region;Bintulu, Sarawak, Malaysia;3.17132,113.04191;;;Jelalong Land District, Bintulu
326;Administrative region;Belaga, Sarawak, Malaysia;3.20028,113.93471;;;
327;Administrative region;Lahad Datu, Sabah, Malaysia;5.04885,118.35931;;;
327;Administrative region;Belaga, Sarawak, Malaysia;2.65892,114.20839;;;
327;Administrative region;Sungai Lana, Tatau, Sarawak, Malaysia;2.69945,113.10863;;;
327;Administrative region;Sungai Jelalong, Sarawak, Malaysia;3.32568,113.81572;;;
328;Administrative region;Sarawak, Malaysia;2.55743,113.0012;;;
329;Country;Sarawak, Malaysia;1.55328,110.35921;;;
330;Administrative region;Sarawak, Malaysia;1.55328,110.35921;;;
330;Administrative region;Sabah, Malaysia;5.97884,116.07532;;;
330;Administrative region;Johor, Malaysia;1.48537,103.76182;;;
330;Administrative region;Selangor, Malaysia;3.07384,101.51835;;;
330;Administrative region;Pahang, Malaysia;3.81263,103.32562;;;
330;Administrative region;Terengganu, Malaysia;5.31169,103.13242;;;
330;Administrative region;Kelantan, Malaysia;6.1254,102.23807;;;
330;Administrative region;Kedah, Malaysia;6.1184,100.36846;;;
330;Administrative region;Perak, Malaysia;4.59211,101.09011;;;
331;Coordinates;Sarawak , Bintulu;3.20633,113.23608;;;"Sarawak , Bintulu
Coordinates: 3.206333, 113.236084"
334;Administrative region;Sabah, Malaysia;5.4204,116.79678;;;
334;Administrative region;Penang, Malaysia;5.26323,100.48462;;;
334;Administrative region;Sarawak, Malaysia;2.55743,113.0012;;;
334;Administrative region;Johor, Malaysia;1.9344,103.35873;;;
334;Administrative region;Malacca, Melaka, Malaysia;2.20568,102.25616;;;
334;Administrative region;Negeri Sembilan, Malaysia;2.87075,102.25479;;;
334;Administrative region;Pahang, Malaysia;3.97434,102.43806;;;
334;Administrative region;Perak, Malaysia;4.80729,100.80001;;;
334;Administrative region;Selangor, Malaysia;3.50925,101.52481;;;
334;Administrative region;Kelantan, Malaysia;5.11515,101.88917;;;
334;Administrative region;Kedah, Malaysia;5.88322,100.52961;;;
334;Administrative region;Perlis, Malaysia;6.51702,100.21516;;;
336;Administrative region;Perak, Malaysia;4.80729,100.80001;;;see http://www.klk.com.my/business/plantations/estates-others/#1
336;Administrative region;Sabah, Malaysia;5.4204,116.79678;;;
336;Administrative region;Negeri Sembilan, Malaysia;2.87075,102.25479;;;
336;Administrative region;Johor, Malaysia;1.9344,103.35873;;;
336;Administrative region;Kedah, Malaysia;5.88322,100.52961;;;
336;Administrative region;Selangor, Malaysia;3.50925,101.52481;;;
336;Administrative region;Pahang, Malaysia;3.97434,102.43806;;;
336;Administrative region;Kelantan, Malaysia;5.11515,101.88917;;;
337;Administrative region;Segamat District, Johor, Malaysia;2.51052,102.83986;;;
337;Administrative region;Kahang, Johor, Malaysia;2.30866,103.66719;;;
337;Administrative region;81900 Kota Tinggi, Johor, Malaysia;1.73287,103.90141;;;
337;Administrative region;Johor Bahru, Johor, Malaysia;1.46343,103.75471;;;
337;Administrative region;81000 Kulai, Johor, Malaysia;1.65182,103.60368;;;
337;Administrative region;Jalan Sri Plentong 3, Taman Perindustrian Sri Plentong, 81750 Masai, Johor, Malaysia;1.51686,103.82878;;;
337;Administrative region;Sungai Tiram, Perak, Malaysia;4.10389,100.75;;;
354;Administrative region;Siraha, Nepal;26.7957,86.2971;;;
451;Administrative region;Tubay, Agusan Del Norte, Philippines;9.20362,125.55484;;;
471;Administrative region;Gutalac, Zamboanga del Norte;7.93333,122.33333;;;
471;Administrative region;Labason, Zamboanga del Norte, Philippines;8.05153,122.51464;;;
471;Administrative region;Kalawit, Zamboanga del Norte, Philippines;7.90048,122.51464;;;
475;Administrative region;Valencia, Negros Oriental, Philippines;9.28026,123.19137;;;
475;Administrative region;Siaton, Negros Oriental, Philippines;9.12425,123.03388;;;
475;Administrative region;Santa Catalina, Negros Oriental, Philippines;9.28676,122.94377;;;
476;Administrative region;Lamut, Ifugao, Philippines;16.68241,121.19394;;;Cordillera Administrative Region, Ifugao, Municipality of Lamut
492;Administrative region;Brooke's Point, Palawan, Philippines;8.81893,117.78425;;;
494;Coordinates;Tanagan, Calatagan, Philippinen;13.81868,120.65984;JLV Shrimp Farm;coastal area;"Barangay Tanagan, Calatagan, Batangas

Spatial data derived from the Mapathon 2020."
510;Administrative region;Viengsa, Nan, Thailand;18.68481,100.80001;;;Viengsa District
512;Approximate location;Nakhon Si Thammarat, Thailand;8.5375,99.72327;;;"Zone 3 Nakhon S Thammarat Thailand
Nakhon Si Thammarat - Prawn Fry (6,000 heads) and Nauplius (13,824 Million heads)"
512;Approximate location;Sangkhla Buri, Nong Lu, Amphoe Sangkhla Buri, Kanchanaburi 71240, Thailand;15.15378,98.45417;;;
512;Administrative region;Ranong, Thailand;10.01127,98.70407;;;
512;Administrative region;Saraburi, Thailand;14.49771,100.89031;;;
512;Administrative region;Kamphaeng Phet, Thailand;16.13982,99.36731;;;
513;Administrative region;Nong Khai, Thailand;17.76969,102.75948;;;Districts: Huai Mong, Tha Boa, Pho Tak, Sri Chiang Mai, Seka, Sophisai, Phonphisai and Pak Khat
513;Exact location;Ubon Ratchathani, Thailand;15.07271,105.21948;;;Districts: Nam Khun, Nam Yun, Boontharik, Najaruai, Phiboonmangsaharn
540;Administrative region;Nam Định, Vietnam;20.42,106.16833;;;Nam Dinh Province
541;Administrative region;Ninh Thuan province, Vietnam;11.6994,108.90268;;;
541;Administrative region;Quảng Trị, Vietnam;16.7017,107.15435;;;
541;Administrative region;tp. Huế, Thừa Thiên-Huế, Vietnam;16.4498,107.56235;;;
543;Administrative region;Di Linh District, Lâm Đồng, Vietnam;11.53467,108.09544;;;
543;Administrative region;Kon Tum Province, Vietnam;14.34974,108.00046;;;
543;Administrative region;Dong Nai, Vietnam;11.06863,107.1676;;;The companies that are planting trees for pulp in the province are South Eastern Region Paper Company under Tan Mai Paper Joint Stock Company in Vinh Cuu district. The planting area is 1,320 hectares. (See: https://www.dongnai.gov.vn/portaldn/en/Pages/glp-dongnaipaperindustrytakesup30p-glpnd-22802-glpnc-5-glpsite-1.html)
543;Administrative region;Quang Ngai, Vietnam;15.12139,108.80441;;;
563;Exact location;Mundra, Gujarat 370405, India;22.74511,69.70081;Adani Port in Mundra;;Mundra, Gujarat
564;Exact location;Mundra Thermal powerplant;22.8189,69.55483;Mundra Thermal Power Plant;;"Adani Power Mundra is located in the Kucthh District in Taluka Mundra of Gujarat, comprising the villages of Vandh, Tunda & Siracha and is about 61 kms south of Bhuj City in Gujarat State, India. The plant is near National Highway 8A and adjacent to the sea. 

Source of shapefile of area in operation: Google satellite maps: 2019 CNES/Airbus, Kartendaten, openstreetmap.com and data source #8"
568;Approximate location;Hazira, Gujarat, India;21.35078,72.81738;;;"Gujarat, Surat, Hariza
Coordinates: 21.350781, 72.817383"
569;Coordinates;Gopalpur, Orissa, Indien;19.33148,84.91017;Gopalpur Industrial Park by Tata Steel Special Economic Zone Limited;;Coordinates obtained from Google Earth Pro: 19.331478, 84.910172
571;Coordinates;Nagaland, Dimapur;25.91359,93.74634;;;"Nagaland, Dimapur
Coordinates: 25.913585, 93.746338"
572;Approximate location;Musalgaon, Maharashtra, India;19.83555,74.05425;;;"Maharashtra, Nashik, Sinner
Coordinates: 19.952696, 73.806152"
572;Administrative region;Gulwanch, Maharashtra 422112, India;19.88583,74.09023;;;
573;Administrative region;karnataka, Hassan, Karnataka;12.9992,76.10229;;;"Industrial Plot Information System of KIADB
http://164.100.133.168/kiadbgisportal/"
574;Administrative region;Kalinga Nagar, Barbil, Odisha 758035, India;20.23971,85.76282;;;"orissa, Kalinga Nagar
Coordinates: 20.239714, 85.76282"
575;Exact location;Ashna Shuli, West Bengal 721129, India;22.57893,87.30835;;;"West Bengal, West Midnapore, Jhargham; location obtained from Google"
577;Administrative region;Tamnar, Chhattisgarh, India;22.09051,83.43901;;;The plant is located near Tamnar in the Raigarh district of Chhattisgarh and is approachable from Raigarh by the state highway, which branches off at Punjipathra, about 12 km from the site and 34 km from Raigarh town. The nearest broad gauge rail link is at Raigarh, 35 km away. Raipur is the nearest airport, 280 kms away from the project site.
579;Administrative region;Naharpali, Chhattisgarh, India;21.98668,83.25595;;;Raigarh in Chhattisgarh, Khasiyar
581;Coordinates;Maharashtra, Nagpur, Mihan;21.105,79.10156;Multi-modal International Hub Airport at Nagpur (MIHAN);;"Maharashtra, Nagpur, Mihan
Coordinates: 21.105, 79.101563"
582;Coordinates;Maharashtra, Pune, Hinjawadi;18.59142,73.73011;;;"Maharashtra, Pune, Hinjawadi
Coordinates: 18.59142292097532, 73.73010635375977"
583;Administrative region;Satara, Maharashtra, India;17.68,73.98;;;District Satara, Maharashtra
584;Administrative region;Latur, Maharashtra, India;18.4,76.5833;;;The SEZ is just 9 kms away from Latur city and 3 kms away from Latur Airstrip
585;Coordinates;Maharashtra, Pune, Lonavala;18.43792,73.8501;;;Karla, Dahiwali, Behergaon, Karandoli, Dewghar, Shilatane, Takawe Budruk and Mundaware villages
588;Administrative region;Juve Jaitapur, Maharashtra, India;16.63403,73.36055;;;Jaitapur in Maharashtra
589;Exact location;Essel world Amusement Park, Gorai, Mumbai, Maharashtra, India;19.2301,72.80133;;;Maharashtra, Mumbai, Gorai
590;Coordinates;Krishna Nagar, Puducherry, Indien;11.95335,79.80469;;;"Pondicherry, Sedarpet
Coordinates: 11.953349, 79.804688"
592;Coordinates;Haryana, Gurgoan, Jhajjar;28.58452,76.6626;;;"Haryana, Gurgoan, Jhajjar
Coordinates: 28.584522, 76.662598"
593;Exact location;Motikhavdi, Gujarat 361280, India;22.34887,69.8495;Reliance Jamnagar SEZ;;"Motikhavdi, Lalpur Taluka, Jamnagar District, in the state of Gujarat
Coordinates: 22.512557, 70.048828"
594;Administrative region;Nandigram, West Bengal, India;21.99976,88.00206;;;
595;Exact location;Sriperumbudur, Tamil Nadu, Indien;12.96746,79.94182;;;Tamil Nadu, Bairamangalam
602;Administrative region;Gagret, Himachal Pradesh 177201, India;31.6622,76.0595;;;"Himachal Pradesh, Una
Coordinates: 31.477866, 76.283569"
603;Coordinates;Karnataka, Banguluru (rural), Nandagudi;13.00456,77.51953;;;"Karnataka, Banguluru (rural), Nandagudi
Coordinates: 13.004558, 77.519531"
604;Administrative region;Lohandiguda, Chhattisgarh 494010, India;19.15011,81.75819;;;
605;Administrative region;Gobaraghati, Odisha 765015, India;19.19583,83.17897;;;Kalinganagar in Orissa’s Jajpur district
605;Administrative region;Chandia, Odisha, India;20.94633,86.02746;;;
605;Administrative region;Nuagaon, Odisha 759141, India;21.11022,84.72372;;;
605;Administrative region;Gadapur, Odisha, India;20.96162,86.04531;;;
605;Administrative region;Khurunti, Odisha, India;20.97364,86.05041;;;
605;Administrative region;Baragadia, Odisha 755026, India;20.98891,86.00323;;;
609;Administrative region;Gandheli, Maharashtra 431007, India;19.81338,75.40534;;;In January 2010, the company was requested by the State’s Chief Minister to shift the project from Wagholi taluka to Saswad taluka due to protest from the local farmers.
609;Administrative region;Adgaon, Nashik, Maharashtra, India;20.03924,73.85661;;;
609;Administrative region;Deolali, Maharashtra 413716, India;19.4728,74.62101;;;
609;Administrative region;Balapur, Maharashtra 431701, India;19.53,77.4;;;
609;Administrative region;Zalta, Maharashtra 431007, India;19.83952,75.4403;;;
609;Administrative region;Chincholi, Maharashtra 431007, India;19.78407,75.43739;;;
609;Administrative region;Parvati Nagar, Aurangabad, Maharashtra 431004, India;19.90734,75.32154;;;
616;Administrative region;Atchutapuram, Andhra Pradesh 531011, India;17.56517,82.97972;;;"Andhra Pradesh, vishakapatnam, Achuttapur
Coordinates: 17.790535, 83.210449"
616;Administrative region;Rambilli, Andhra Pradesh 531061, India;17.46487,82.92999;;;
619;Administrative region;Samsthan Narayanpur, Telangana 508253, India;17.16212,78.88072;;;Andhra Pradesh
619;Administrative region;Vishakhapatnam, Andhra Pradesh, India;17.68682,83.21848;;;
620;Administrative region;Madhya Pradesh, Indore;22.79644,75.80566;;;Madhya Pradesh, Indore
625;Coordinates;West Bengal, Singur;22.81147,88.22897;;;"West Bengal, Singur
Coordinates: 22.811472472809285, 88.22896957397461"
626;Administrative region;Sanand, ahmedabad, Gujarat, india;23.0314,72.29485;;;GIDC, Sanand, Gujarat, India
626;Administrative region;Bol, Gujarat, India;22.98961,72.26673;;;
628;Administrative region;Tamil Nadu, Virudhunagar district, Sattur tulak;9.34736,77.90322;;;Tamil Nadu, Virudhunagar district, Sattur tulak
629;Coordinates;Rajasthan, Jaipur, location: Mahindra World City;26.80707,75.64241;;;"Mahindra Sez, Ajmer Road, Rajasthan, Jaipur, location: Mahindra World City
Coordinates: 26.807065416866916, 75.64241409301758

Spatial data derived from the Mapathon 2020."
630;Coordinates;Polepally, Telangana 509301, India;16.82648,78.11786;;;"Andra Pradesh, Polepally
Coordinates: 16.82647797598942, 78.11785697937012"
637;Coordinates;Tamil Nadu;12.22829,79.07461;;;"Tamil Nadu, Thiruvannamalai 
Coordinates: 12.228292940767597, 79.07461166381836"
638;Approximate location;Coimbatore, Tamil Nadu, India;11.01684,76.95583;;;
638;Approximate location;Erode, Tamil Nadu, India;11.35,77.73333;;;
638;Approximate location;Dindigul, Tamil Nadu, India;10.36731,77.98029;;;
638;Approximate location;Karur, Tamil Nadu, India;10.95,78.0833;;;
638;Approximate location;Gudimangalam, Tamil Nadu 642201, India;10.69127,77.27931;;;
643;Coordinates;Karnataka, Mangalore;12.91414,74.85596;;;"Karnataka, Mangalore
Coordinates: 12.914142, 74.855957"
650;Coordinates;Chhattisgarh, Raigarh, location: Lailunga/Kondkel;22.37363,83.58587;;;"sub block IV/4 of Gare Block in Mand Raigarh Coalfield, Dist. Raigarh Chhattisgarh 
Location: Lailunga/Kondkel
Coordinates: 22.373625, 83.585874"
651;Coordinates;Chhattisgarh, Raigarh, location: Milupara;22.18333,83.51667;;;"Chhattisgarh, Raigarh, location: Milupara
Coordinates: 22.183333, 83.516667"
652;Coordinates;Chhattisgarh, Raigarh, location: Dongamoha;22.13335,83.53798;;;"Chhattisgarh, Raigarh, location: Dongamoha
Coordinates: 22.13335144230487, 83.53797912597656"
654;Coordinates;Chhattisgarh, Raigarh, location: Karwahi near Tamnar;22.08898,83.43859;;;"Chhattisgarh, Raigarh, location: Karwahi near Tamnar
Coordinates: 22.088980234742568, 83.4385871887207"
655;Coordinates;Maharashtra, Raigad;18.51575,73.18216;;;"Maharashtra, Raigad
Coordinates: 18.515752, 73.182162"
664;Coordinates;Andhra Pradesh, Nellore District;14.43734,79.9736;;;"Andhra Pradesh, Nellore District
Coordinates: 14.437340078585587, 79.97360229492188"
665;Coordinates;Andhra Pradesh, Anantapur, location: Hindupur;13.83,77.49;;;"Andhra Pradesh, Anantapur, location: Hindupur
Coordinates: 13.83, 77.49"
666;Approximate location;Andhra Pradesh, Nellore District;14.43734,79.9736;;;"Andhra Pradesh, Nellore District
Coordinates: 14.437340078585587, 79.97360229492188"
668;Coordinates;Andhra Pradesh, Vizianagaram, location: S. Kota;18.05066,83.24538;;;"Andhra Pradesh, Vizianagaram, location: S. Kota
Coordinates: 18.050663383994507, 83.24538230895996"
669;Coordinates;Andhra Pradesh, Chillakur, Nellore District;14.1309,79.86468;;;"Andhra Pradesh, Chillakur, Nellore District
Coordinates: 14.130902, 79.864684"
