Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement (in years);Comment on contract
3429;No.30/2010;2010-09-27;;50;a 50-year lease (with an option to renew for a further 21 years)
3433;;;;50;
3436;;;;99;
3447;;2009-01;;25;PPA and concession agreement signed between BRP and GoL in January 2009
3449;FMC-002;2008-10-06;2033-10-05;25;Another source claims the contract date was 2009-05-27
3450;FMC-005;2009-09-17;2034-09-16;25;Also known as Forest Management Contract-K
3451;FMC-007;2009-09-17;2034-09-16;25;
3454;;2010-07-21;;3;
3455;TSC-0009;2010-07-21;2013-07-20;3;
3456;TSC-0006;2010-07-21;2013-07-20;3;
3458;;1959-08-01;2029-07-31;70;
3459;;2011-09-09;;50;The data shows that the contract date was made last September 09, 2011. The June 16, 2011 date was for the Sub-decree reclassifying land use.
3460;;1959;1929;70;"The Liberian Agricultural Company was established by Uniroyal in 1959 and it has a ratified Concession Agreement ceded to her by the Government of Liberia up to 2029;"
3462;;2011-06-15;;;
3463;;2011;2036;25;The Maryland Oil Palm Plantation is a 25-year concession agreement that was renegotiated out of the former Decoris Oil Plantation for the rehabilitation and development of an oil palm plantation and oil processing plant (20,000 acres/8,800 hectares) in Gedetabo, Maryland County.
3464;;2011-08-17;;50;
3470;;2010-05-05;;70;
3472;;2011-01-06;;;
3474;;2010-11-30;;;
3475;;2010-01-29;;70;
3476;;2011-08-17;;;
3477;;2012-05-01;;5;
3478;;2011-03-14;;;
3479;;2010-04-09;;70;As of May 3, 2016, the duration of the agreement in years was 50 years.
3480;;2007-09;;60;GPGB owns a Plantation through a Concession to develop, manage and maintain 4,565 hectares (11,280 acres) of oil palm for a period of 60 years from Sept 2007 with an option to renew for another 30 years.
3484;;2011-01-06;;;
3496;;2011-03-21;;;
3497;No. 551.31 / 2311 / Disbun- C;2003-10-31;;30;
3497;HSL No. 143/HGU/BPN/97/A/106;;;;
3500;;2011-03-11;;;
3502;;2010-05-05;;70;
3503;;2011-01-08;;;
3505;;2011-09-07;;99;
3506;81/hgu/bpnri/2005;2005-07-04;2040-09-24;;Expiration of lease (24-09-2040)
3508;;2010-12-30;;;
3510;;2010-12-30;;;
3515;;2011-06-14;;99;
3518;;;;25;
3520;;;;25;
3521;;2012-08-03;;70;
3522;;2012-08-03;;70;
3524;;2012-08-03;;70;
3525;;2011-07-06;;;
3526;;2011-11-08;;70;
3527;;2011-10-05;;;
3531;;2011-02-09;;;
3532;;2012-04-18;;90;
3533;;2011-07-06;;;
3534;;2011-07-06;;70;
3535;;2012-05-18;;;
3538;;2010-09-02;2040-09-02;30;some data sources indicate the lease term is for 33 years
3541;;;;30;
3552;;;;5;
3553;;2012-02-24;;;
3554;;2011-05-30;;;
3558;213.460.42/bpn;2005-02-28;;;
3559;;1997-03-02;;25;
3560;IUP No. 525.26/418/VIII/ EK.SDA/2010;2010-08-01;;;IUP No. 525.26/418/VIII/ EK.SDA/2010, Agustus 2010, covers an area of11.803,95 ha
3560;IUP  No. 525.26/272/VI/EK-SDA/2010;2010-06-01;;;IUP for Additional Area No.525.26/272/VI/EK-SDA/2010 covers an area 4.132,5 ha
3562;844.460.42/bpn;2004-12-27;;;
3563;;2010-09-24;;99;Notice of Direct Grant says that the grant as a Special Agriculture and Business Lease to for instance, Tosigiba or to NEWIL is for 99 years but the land investigation report says that the customary landowners only are willing to free up their land for SABL purposes for only 25 years and not 99 years.
3565;;2011-07-22;;99;
3566;;2010-01-08;;;
3567;SK Bupati  SintangNo.445;2008-06-01;;;
3568;HGU 164/hgu/bpn ri/2014;2014;;;
3569;SK Kepala BPN No.159/HGU/BPN RI/2014;2014-01-01;;;
3570;;2010-01-29;;;
3571;;2010-01-29;;50;
3572;sk 624/menhut-vi/2009;2009-01-01;;;
3572;SK -648 / Men - HUT - II / 2011;2011-11-11;;;
3575;107/PEM/2005;2005-04-27;;;The location permit (Izin Lokasi) for PT SISM was approved by Regent Decree of Ketapang No: 107/PEM/2005 dated 27th April 2005. The Plantation Operational Permit (Izin Usaha Perkebunan/IUP) was approved by Regent of Ketapang No.551.31/0633/ Disbun-C/2005 dated 1st April 2005.
3581;;;;;The lease of Cahaya Pelita Andhaka runs to 2029, when it should be renewable for between a further 25 and 55 years.
3586;;2006-12-27;2105-12-27;99;with option to extend to another 99 years once the initial 99 years has lapsed
3587;;;;99;
3590;;2006-07-20;;99;
3591;;2006-09-22;;50;
3592;;2007-02-15;;99;
3594;;2007-02-19;;99;SABL recommended for revocation in 2014
3597;;;;;The license for a company engaged in oil palm plantations is only valid for three years, starting from 2008 to 2011. So, this year the company has had to extend the permit because it has entered the third year since the issuance of the permit. (July 2011)
3604;77/HGU/BPN/04;2004-01-01;;;
3609;;;;32;
3609;;2006-11-21;;;"IJM PLANTATIONS BERHAD has entered into a Conditional Sale and Purchase Agreement to acquire 95 shares of Rp.1 million each (or 95% equity interest) in PT Primabahagia Permai (""PBP"") for a total cash consideration of Rp.95 million (about RM37,000)."
3610;;;;31;
3611;;;;11;Leasehold expiry: 2021, 2029, and 2049
3614;47/DPN.K/IL-46/VI/2007;2007;;;"Permitted Area (Izin Lokasi) No. 47/DPN.K/IL-46/VI/2007, dated 26 June 2007 for± 21,500ha.
Ijin Usaha Perkebunan/IUP (Plantation Operational Permit) No. 503/50/SK-DISBUN KUKAR /VIII/2007, dated 26 July 2007 for ± 21,500 ha.  In 2015, there two companies operating there (PT PMM and PT TJA). PT PMM, the company in this deal has 16,105.45 of the initial area as of 2015."
3616;TPE: 31 / HGU / BPN / 1989;1989-06-27;2018-01-01;30;
3616;MME / TBE / MRE: 31 / HGU / BPN / 1989;1989-06-27;2018-01-01;30;
3616;ABKE: 4 / HGU / BPN / 94;1994-06-27;2024-02-02;30;
3616;BTE: 4 / HGU / BPN / 94;1994-06-27;2024-02-02;30;
3616;SKGE / SBE / TRE: 9 / HGU / BPN / 93;1993-03-08;2023-01-01;30;
3616;ABE: 07 / HGU / BPN / 90;1990-05-03;2020-01-01;30;
3618;HGU No 26.11.00.00.4.00007;2009-10-05;;;
3618;HGU No. 26.11.00.00.4.00008;;;;
3618;HGU No. 26.11.00.00.4.00009;;;;
3619;;2007-10-16;;99;Special Agriculture and Business License (SABL)
3620;;2007-10-17;;99;Special Agriculture and Business License (SABL)
3621;;2007-10-16;;99;
3622;;2007-10-17;;99;
3625;;2005-05-24;;30;
3626;;2008-01-09;;99;SPECIAL AGRICULTURE AND BUSINESS LEASE
3627;;2008-03-18;;99;A 99 year Special Agriculture Business Lease was granted to the company on 18 March 2008. Notice of Direct Grant was published in the National Gazette number G45 on Tuesday 18 March 2008, the same day. Lease is over land described as portion 104C, Milinch of Part Megigi South East and Part Dagi North East, Fourmil of Talasea, with a land area of 231.2 hectares.
3627;;2008-04-02;;99;"Second SABL was granted to Akima Oil Palm Limited on 2 April 2008. Notice of Direct Grant was published in Gazette G54 on Monday, 7 April 2007. It is for land described as Portion 2628C, Milinch of Megigi South East, Fourmil of Talasea; area 345.75 hectares."
3639;;;2041-05-15;35;35 years lease expiring on 15.05.2041
3640;;2015;2045-02-18;35;
3641;;;2029-12-31;35;
3642;350/E5.719/09.1996;1996-09-13;2040-07-13;35;
3642;503/480/Eko.TU.P/XII/2006;2006-12-19;;35;
3643;;2005-12-29;2053-10-18;35;
3644;38/HGU/BPN RI/2011;2011-07-25;2041-10-15;30;expiration of lease at October 15, 2041 but GFW indicates 2046-07-25 as expiration
3645;;;;;Pending tenure as per  TSH Resources Berhad Annual Report ‘09
3646;;2010-01-01;2048-10-23;35;"Hak Guna Usaha (Right of Cultivation) for 7,170 hectares; some sources say that the concession was awarded in 2010 but the 2019 Annual Report of TSH indicates that there is a 35-year lease on the area expiring on 2048, which means the concession might have actually been awarded in 2013"
3646;;;2051-11-04;35;Hak Guna Usaha (Right of Cultivation) for 846 hectares
3652;;2008-07-09;;99;
3653;;2008-07-09;;99;
3654;;2008-07-09;;99;Reports state that the SABLs signed in 2008 involved flawed Land Investigation Reports, which did not accurately define the concessions’ boundaries (a proper survey to determine those boundaries was never conducted in the area) and collected fake signatures (the Land Investigation Reports included signatures with names of children and infants).
3655;;2008-07-14;;99;General Manager of BOPPL Kelvin Tan Keh Feng said when the agreement was signed in 2010, the company promised to clear the land, plant oil palm and build amenities. He also announced that in addition to planting oil palm, the company would also build sawmills, veneer processing plants, palm oil mills, refinery, Pelletizing Plant and Biomass Power Plants as downstream projects.
3656;;2008-08-14;;99;
3657;;2008-08-14;;99;
3659;;2008-09-25;;99;
3661;;;;3;
3662;;;;3;
3664;;2009-02-18;;99;
3670;;;;25;
3676;;2009-12-28;;25;
3679;;2009-04-02;;99;The grant is dated 2nd April 2009 and it was gazette on 1st April 2009 through National Gazette Issue No G58 of 2009.
3680;;2009-04-28;;99;Special Agriculture and Business Lease (SABL)
3681;;2009-10-30;;70;
3682;;2009-10-30;;70;SABL recommended for suspension last June 2013.
3683;;2009-10-30;;70;Recommended the lease is amended to 40 years and a developer with agricultural skills be engaged.
3684;;2009-10-30;;70;The SABL recommended to the company that the lease is need to be suspended and land investigation report reconducted. Lease be reduced to 40 years.
3687;;2009-12-10;;99;Last May 18, 2018, a report was published that the company's agreement was cancelled.
3702;;2013-07-03;;;
3706;;2010-02-26;;99;
3707;;2010-04-26;;99;"Special Agriculture and Business Lease (SABL) granted to the landowner companies. The SABL holders and their preferred development partner
Goldwell Resource Co. (PNG) Limited entered into a sublease agreement that was executed and registered on the day of the direct grant, 26 April 2010."
3708;;2010-09-24;;99;Special Agriculture and Business Lease to NEWIL is for 99 years but the land investigation report says that the customary landowners only are willing to free up their land for SABL purposes for only 25 years and not 99 years.
3709;;2010-10-15;;99;Special Agriculture and Business Lease (SABL) was granted to Wammy Limited, which then granted a sublease over the entire SABL (Portion 27C) to Global Elite Limited for sixty (60) years. It was approved by Mr Pepi Kimas for purposes of Section 128 and 129 of the Land Act 1996 and registered with the DLPP on 29th October 2010.
3711;;2011-03-14;;99;Special Agriculture and Business Lease (SABL) granted in 2011 was recommended to be revoked by the Commission of Inquiry in 2013.
3715;49IKPTS/BPM-PTP/201 I;2011-07-18;;4;Izin Lokasi (Location Permit) for oil palm and rubber
3719;;2010-01-01;2110-04-01;99;a 99-year State Lease over 5,992 ha in the town/Fourmil of Tufi, Section/Milinch Murua in Oro Province, expiring on 6 April 2110 (“Lot A”)
